what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1430383163754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1430383166072
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383168290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383168319
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430383169866
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383170853
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383170888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383171619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383175584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383178047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383182078
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430383191482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383195416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383200205
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383200505
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383200549
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1430383223052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383228341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383230682
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1430383234424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383237186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383237441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383243667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383248711
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430383250003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383253671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383258146
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383258375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383258401
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1430383286107
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1430383286129
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1430383286180
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1430383286244
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1430383286257
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1430383286382
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1430383286396
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1430383286528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1430383286673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430383300758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383301850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383306213
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383308407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430383309276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383312409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383323038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383326586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383329455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1430383337552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383340875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383348186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383359453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383360156
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383361653
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383363999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1430383365987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430383368310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383369858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430383370862
