what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522296461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522298940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522302066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522304716
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427522312494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522319702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522320945
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427522320965
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427522322132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522336422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522350697
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427522350716
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427522351652
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427522351916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427522351990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522353839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522355113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522356543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522357419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522364254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522365953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522372792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522373692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522375466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522376291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427522394617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522401091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427522432308
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427522433846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427522440701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427522442994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427522447190
