what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409895601258
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1409895601322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895602939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895613987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895614706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895649893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895650720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895664323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895673761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895675945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895677302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895690937
error,log,,,"Unhandled event loop exception",1409895690952
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1409895696069
error,log,,,"Unhandled event loop exception",1409895717488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895732745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895872550
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1409895874220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895876399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895930817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895930957
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409895932845
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1409895936729
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1409895938399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895939631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895964155
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1409895965585
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1409895966777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409895967343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896026564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896027919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896206387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896210348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896215487
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1409896216488
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1409896222437
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1409896224337
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1409896225681
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1409896230115
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409896233653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896237085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896261984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409896262792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896267503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409896271620
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409896273220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409896278216
