what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1438993390193
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993393260
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1438993395131
error,log,,,"Could not search for markers.",1438993395208
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993396579
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993397574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993397667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993401381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1438993401389
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1438993401975
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1438993403546
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993405684
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993407286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993407367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993413303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1438993413316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993415315
error,log,,,"Could not search for markers.",1438993420366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993420369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1438993420376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1438993420775
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1438993423238
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993424387
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993425399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993425489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993432644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1438993432652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1438993433022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993436195
error,log,,,"Could not search for markers.",1438993441403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993441409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1438993441415
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1438993442788
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993443916
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1438993445037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993445121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438993447582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1438993447593
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1438993449779
