what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150367354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150367510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150370140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150429185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150434511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150454733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150460303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1443150518457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150521224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150535901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150536869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150543165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150544948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150546080
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1443150552334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150552876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150553651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150556922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150559597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150562334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150562446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150562612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150568399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150570141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150583896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150584716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150585905
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1443150586891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150592474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150596932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150603059
started,bundle,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors",1443150609533
opened,editor,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.ui.UntitledTextEditor",1443150609600
activated,editor,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.ui.UntitledTextEditor",1443150609630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150609662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150610807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150612464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1443150629981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443150631193
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu",1443150638012
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1443150642897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150643796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150644002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150645717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150647740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150652828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150654166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1443150741173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1443150752425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150767739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150779082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150819443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150820436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1443150823176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150823357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150825772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1443150837647
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443150838321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443150843296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150846539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150847229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1443150865981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1443150867745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1443150884414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1443150887671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1443150915585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1443150950815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443150961168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443151935351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152413743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152414008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152427984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152556540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152559769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152561942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152572377
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1443152573382
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1443152576974
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1443152578118
error,log,,,"Could not search for markers.",1443152578265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152582507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1443152586356
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1443152586375
