what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1430834717084
error,log,,,"Resource '/mypro02' is not open.\n",1430834717255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834717349
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430834717380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430834717380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834720547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834728472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1430834728487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1430834728487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834730593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834746786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430834746786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1430834746786
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1430834746942
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1430834746958
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.eclipse.jdt.internal.core.JavaProject",1430834748190
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1430834752979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834757566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834759095
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430834759095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430834759095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834762339
error,log,,,"Resource '/mypro01' is not open.\n",1430834763478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834763541
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430834763556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430834763556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834766489
error,log,,,"Resource '/mypro02' is not open.\n",1430834767675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834767737
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430834767737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430834767737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834770249
error,log,,,"Resource '/MyGame' is not open.\n",1430834771013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834771060
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1430834771060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1430834771060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430834776052
error,log,,,"Resource '/testDate' is not open.\n",1430834777284
