what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,"org.eclipse.eclipsemonkey.doms",1427967213079
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,"org.eclipse.eclipsemonkey.lang.javascript",1427967213080
os,sysinfo,,,"win32",1427967213084
arch,sysinfo,,,"x86",1427967213084
ws,sysinfo,,,"win32",1427967213084
locale,sysinfo,,,"zh_CN",1427967213084
processors,sysinfo,,,"4",1427967213084
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427967213084
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1427967213084
java.specification.name,sysinfo,,,"Java Platform API Specification",1427967213084
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427967213084
java.specification.version,sysinfo,,,"1.6",1427967213084
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427967213084
java.version,sysinfo,,,"1.6.0_10-rc2",1427967213084
java.vm.info,sysinfo,,,"mixed mode",1427967213084
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1427967213084
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427967213084
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427967213084
java.vm.specification.version,sysinfo,,,"1.0",1427967213084
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427967213084
java.vm.version,sysinfo,,,"11.0-b15",1427967213084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967216541
error,log,,,"(Build 1.2.7.024747) [ERROR] Invalid key",1427967216995
started,bundle,com.aptana.ide.search,1.2.7.024747,"com.aptana.ide.search",1427967221261
started,bundle,com.aptana.ide.editors,1.2.7.024747,"com.aptana.ide.editors",1427967221271
started,bundle,com.aptana.ide.scripting,1.2.7.024747,"com.aptana.ide.scripting",1427967221274
started,bundle,com.aptana.ide.xul,1.2.7.024747,"com.aptana.ide.xul",1427967221290
started,bundle,com.aptana.ide.debug.core,1.2.7.024747,"com.aptana.ide.debug.core",1427967221311
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1427967221329
opened,editor,com.aptana.ide.server.portal,1.2.7.024747,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1427967221557
error,log,,,"(Build 1.2.7.024747) [ERROR] License Channel: Key Is No Longer Valid.",1427967222529
error,log,,,"(Build 1.2.7.024747) [ERROR] License Channel: Key Is No Longer Valid.",1427967222530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967224671
activated,editor,com.aptana.ide.server.portal,1.2.7.024747,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1427967224705
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427967226449
closed,editor,com.aptana.ide.server.portal,1.2.7.024747,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1427967226450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967227669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967288904
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427967288951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967297261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967305611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967307098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967308803
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427967309761
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1427967310167
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1427967310477
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1427967310509
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1427967312313
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1427967313387
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1427967313401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967316171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967326184
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1427967327446
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427967327675
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1427967327839
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1427967328115
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1427967328150
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427967328443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967337431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427967382305
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427967383425
